timestamp,model,split,entity,precision,recall,f1,support
2026-05-23 02:03:38,roberta-base,validation,EDUCATION,0.4166666666666667,0.4975124378109453,0.4535147392290249,201
2026-05-23 02:03:38,roberta-base,validation,JOB_TITLE,0.7255293647622852,0.7132757266300078,0.7193503664091899,2546
2026-05-23 02:03:38,roberta-base,validation,SKILL,0.6340854736404284,0.5695871473939846,0.600108251734488,10706
2026-05-23 02:03:38,roberta-base,validation,micro avg,0.6483818770226537,0.5957035605441166,0.6209274396621858,13453
2026-05-23 02:03:38,roberta-base,validation,macro avg,0.5920938350231267,0.5934584372783126,0.5909911191242343,13453
2026-05-23 02:03:38,roberta-base,validation,weighted avg,0.6481429304600613,0.5957035605441164,0.6204847571941025,13453
2026-05-23 02:04:28,roberta-base,test,EDUCATION,0.4166666666666667,0.4975124378109453,0.4535147392290249,201
2026-05-23 02:04:28,roberta-base,test,JOB_TITLE,0.7255293647622852,0.7132757266300078,0.7193503664091899,2546
2026-05-23 02:04:28,roberta-base,test,SKILL,0.6340854736404284,0.5695871473939846,0.600108251734488,10706
2026-05-23 02:04:28,roberta-base,test,micro avg,0.6483818770226537,0.5957035605441166,0.6209274396621858,13453
2026-05-23 02:04:28,roberta-base,test,macro avg,0.5920938350231267,0.5934584372783126,0.5909911191242343,13453
2026-05-23 02:04:28,roberta-base,test,weighted avg,0.6481429304600613,0.5957035605441164,0.6204847571941025,13453
2026-05-23 02:30:34,roberta-base,validation,EDUCATION,0.3826086956521739,0.43781094527363185,0.4083526682134571,201
2026-05-23 02:30:34,roberta-base,validation,JOB_TITLE,0.7373366013071896,0.7089552238805971,0.722867440929115,2546
2026-05-23 02:30:34,roberta-base,validation,SKILL,0.6333900170051016,0.5914440500653839,0.6116987876153215,10706
2026-05-23 02:30:34,roberta-base,validation,micro avg,0.6489151873767258,0.6113877945439679,0.6295927740355175,13453
2026-05-23 02:30:34,roberta-base,validation,macro avg,0.5844451046548217,0.5794034064065375,0.5809729655859646,13453
2026-05-23 02:30:34,roberta-base,validation,weighted avg,0.6493151606935857,0.6113877945439679,0.629699443330563,13453
2026-05-23 02:31:06,roberta-base,test,EDUCATION,0.3826086956521739,0.43781094527363185,0.4083526682134571,201
2026-05-23 02:31:06,roberta-base,test,JOB_TITLE,0.7373366013071896,0.7089552238805971,0.722867440929115,2546
2026-05-23 02:31:06,roberta-base,test,SKILL,0.6333900170051016,0.5914440500653839,0.6116987876153215,10706
2026-05-23 02:31:06,roberta-base,test,micro avg,0.6489151873767258,0.6113877945439679,0.6295927740355175,13453
2026-05-23 02:31:06,roberta-base,test,macro avg,0.5844451046548217,0.5794034064065375,0.5809729655859646,13453
2026-05-23 02:31:06,roberta-base,test,weighted avg,0.6493151606935857,0.6113877945439679,0.629699443330563,13453
2026-05-23 02:48:28,roberta-base,validation,EDUCATION,0.39316239316239315,0.4577114427860697,0.42298850574712643,201
2026-05-23 02:48:28,roberta-base,validation,JOB_TITLE,0.737284741690028,0.723095051060487,0.7301209597461826,2546
2026-05-23 02:48:28,roberta-base,validation,SKILL,0.6447149396587599,0.578834298524192,0.6100009843488533,10706
2026-05-23 02:48:28,roberta-base,validation,micro avg,0.6586729320262497,0.6043261726009068,0.6303302837649247,13453
2026-05-23 02:48:28,roberta-base,validation,macro avg,0.5917206915037271,0.5865469307902496,0.5877034832807208,13453
