timestamp,model,learning_rate,epochs,train_batch_size,eval_batch_size,validation_precision,validation_recall,validation_f1,test_precision,test_recall,test_f1,training_time_min,max_gpu_memory_gb,device
2026-05-23 02:04:51,roberta-base,2e-05,4,4,4,0.6483818770226537,0.5957035605441166,0.6209274396621858,0.6680132503837763,0.62109375,0.6436996379773444,15.57,2.6,cuda
2026-05-23 02:31:15,roberta-base,3e-05,5,4,4,0.6489151873767258,0.6113877945439679,0.6295927740355175,0.6735938377597689,0.6306340144230769,0.6514064015518914,19.18,2.6,cuda
2026-05-23 02:49:04,roberta-base,3e-05,4,4,4,0.6586729320262497,0.6043261726009068,0.6303302837649247,0.6716393576261515,0.6189152644230769,0.644200320575472,15.39,2.6,cuda
2026-05-23 03:05:34,roberta-base,3e-05,3,4,4,0.6594081049268539,0.5829926410466068,0.6188503570442262,0.6722738304460625,0.6034405048076923,0.6360001583468587,11.34,2.6,cuda
2026-05-23 03:20:36,roberta-base,2e-05,3,4,4,0.6485099337748345,0.5823236452835798,0.613637253750049,0.6655329738697636,0.6026893028846154,0.6325541057279143,11.4,2.6,cuda
2026-05-31 11:03:37,roberta-base,3e-05,5,4,4,0.6469798657718121,0.6090834758046533,0.627459989279424,0.662710109137258,0.6249248798076923,0.6432630968490237,7.22,2.62,cuda
2026-05-31 13:42:30,roberta-base,3e-05,5,4,4,0.6660826682239959,0.684630006336079,0.6752289957078722,0.6665249108574045,0.7053589974382054,0.6853923135144228,7.33,2.62,cuda
